"","Date.Added","Song","Artist","Day.1","Day.2","Day.3","Day.4","Day.5","Day.6","Day.7","Day.8","Day.9","Day.10","Day.11","Day.12","Day.13","Day.14","Day.15","Day.16","Day.17","Day.18","Day.19","Day.20","Day.21","Day.22","Day.23","Day.24","Day.25","Day.26","Day.27","Day.28","Day.29","Day.30","Day.31"
"133","01/27/2021","Do a Bitch","Kali",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14600,16200,18400,22800,24800,24500,26200,30200,30300,34500,34400,36800,-1,42000,43700,45600,56900,68400,-1
"134","01/28/2021","Knock Knock","SoFaygo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"135","01/29/2021","Honest","Rocco",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"136","02/01/2021","World of Trouble","Kossisko",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"137","02/01/2021","Villain","Wolf",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"138","02/02/2021","What Do Rio Mean / Definition Of Rio","Rio Da Yung OG",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"139","02/05/2021","Belly of the Beast","Brennan Savage",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"140","02/09/2021","Just Water","Bryansanon",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"141","02/09/2021","Not Angry","Chris James",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"142","02/12/2021","Jealous","Eyedress",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"143","02/25/2021","Sweetladychallenge","Lew Mr. Blue",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"144","02/25/2021","Track Meet","DevTakeFlight",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"145","02/25/2021","Sometimes (Backwood)","gigi",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"146","02/26/2021","Bala Peligrosa","DJ Swagrman",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"147","02/26/2021","Yale","Ken Car$on",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"148","02/26/2021","Missed Calls","Chris Miles",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"149","02/26/2021","American Friends","DYSN",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"150","02/26/2021","Michigan","Chavo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"151","02/26/2021","Comedy!","Autumn!",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"152","02/26/2021","Rosetta","Karri",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"153","02/26/2021","Never Could","Mr.Chicken",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"154","02/26/2021","carleen","LOAT!",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"155","03/01/2021","Outside","Yvette",28600,-1,31900,33700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"156","03/01/2021","BIG BANK","jusLo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"157","03/03/2021","Flow Switch","Heavy Honcho",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"158","03/05/2021","Heart Attack","Scarlxrd",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"159","03/05/2021","6 Feet","Scarlxrd",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"160","03/05/2021","Red Light","Scarlxrd",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"161","03/10/2021","You Got It","JNA",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"162","03/10/2021","G-Code","Kamrin Houser",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"163","03/12/2021","DUMB","Kblast",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"164","03/15/2021","Be Forreal","Tevin Terrell",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"165","03/18/2021","CAP","T3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"166","03/23/2021","YKWIM","Yot Club",26400,32000,37200,41300,44100,47000,50700,54200,58900,60700,63400,66500,68100,-1,-1,-1,70900,71700,72400,73200,73600,74000,74000,75500,75500,76700,76700,77800,77800,78800,78800
"167","03/25/2021","Sneaky Link","Hxllywood",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5700,8000
"168","04/02/2021","MY STORY","Mike Dimes",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"169","04/05/2021","Yucky Blucky Fruitcake","Iamdoechii",-1,-1,-1,6900,7400,7700,7900,8200,8400,8500,8600,8800,9000,9200,9500,9700,9900,10100,10500,10600,10800,11000,11200,11400,11600,11900,12100,12300,12500,12700,12900
"170","04/08/2021","Gangstas & Ratchets","Lil Vada",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"171","04/08/2021","Rugrat","Davine Jay",11200,11200,11200,11300,11300,11400,11400,11500,11500,11600,11600,11700,11700,11800,11800,11900,11900,12000,12000,12100,12100,12100,12200,12200,12200,12300,12300,12300,12400,12400,12400
"172","04/08/2021","Prom Night","Riovaz",6300,7400,8500,9600,10400,10600,12300,13300,14100,14900,15100,15200,15300,15300,15500,15600,15700,15800,15900,16100,16100,16400,16400,16400,16600,16700,16600,16900,17000,17100,17200
"173","04/10/2021","FYOTP","Too Much",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"174","04/12/2021","Wit My Hoe","Katozai",38200,39400,39400,39400,39400,46500,47900,49900,51200,52800,55100,57100,68800,77500,85700,97700,104100,111700,118200,124300,130200,135500,141700,147400,152700,157600,162700,168300,174100,180200,185700
"175","04/13/2021","Exless","Kate Stephenson",-1,-1,5200,5600,5700,5800,5900,6000,6000,6100,6100,6200,6200,6200,6300,6300,6400,6400,6400,6500,6500,6600,6600,6700,6700,6700,6700,6800,6800,6800,6800
"176","04/15/2021","CHET HANKS","Big Meez",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"177","04/18/2021","Fastcar","Stoneysworldd",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"178","04/20/2021","KILL BILL","HateSonny",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"179","04/22/2021","Hate","Kahlil4mb",11700,12400,12600,13100,13600,14200,14700,15100,15600,16100,16600,17000,17600,18700,20000,21900,23200,24300,25400,26600,27600,28500,29300,30000,30600,31000,31500,32000,32500,NA,-1
"180","04/27/2021","Whatchu Do","10k.Caash",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"181","04/28/2021","Beating Down Yo Block","Monaleo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"182","04/30/2021","Bestfriend","Novaakan3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"183","05/05/2021","Addicted to Finessing","Retro Messiah",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"184","05/06/2021","Cabelas","Skurt",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"185","05/16/2021","S.I.M.P","Kylesimps",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"186","05/16/2021","Freaky Bih from Da A","Louisvt",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"187","05/20/2021","Hold On","Lonni Monae",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"188","05/21/2021","MY STORY","Mike Dimes",-1,-1,-1,-1,-1,-1,-1,-1,-1,5100,5200,5300,5400,5400,5500,5600,5700,5700,5800,5900,5900,5900,6000,6100,6100,6200,6200,6300,6300,6400,6400
"189","05/24/2021","Literal Legend","Ayesha Erotica",196800,197200,197500,197600,198000,198400,198600,198900,199200,199400,199700,2e+05,200300,200500,200700,201000,201200,201400,201600,201800,202000,202100,202400,202600,202800,203000,203200,203400,203800,204200,204400
"190","05/25/2021","Yay Yay","Compton Ro2co",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"191","05/25/2021","Vibe","Chriseanrock",-1,-1,-1,5200,6500,7300,7600,8700,9400,10000,10400,11100,11500,11800,12300,12800,13200,13600,13800,14100,14300,14500,14700,14800,15100,15300,15500,15800,16000,16300,16500
"192","05/26/2021","Life Ain't Fair","B3Y0NDA110DD$",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"193","06/03/2021","Used To","KB Mike",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"194","06/04/2021","Just A Moment","Symphani Soto",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"195","06/07/2021","FEET!","Nascar Aloe",13500,13600,13700,13800,13900,14000,14000,14100,14200,14300,14300,14400,14500,14500,14600,14600,14700,14700,14800,14800,14900,14900,15000,15000,15000,15100,15100,15200,15200,15200,15300
"196","06/08/2021","Booted Up","PlayBoy On The Beat",5700,5800,5900,6000,6000,6100,6100,6200,6300,6300,6400,6400,6500,6500,6500,6600,6600,6600,6700,6700,6700,6800,6800,6800,6800,6900,6900,6900,6900,6900,7000
"197","06/14/2021","MUKKBANG","Lil Cherry",46300,49500,49500,56900,60900,65300,68700,72300,76100,78800,81900,84700,87100,88900,89900,92700,94400,95900,97200,98600,99900,101000,102100,103200,103900,105400,105900,107100,107300,107600,107800
"198","06/14/2021","One More I Love You","Alex Warren",6100,7300,8100,9000,9600,10200,11100,12000,12800,13600,14200,14900,14800,15000,15200,15600,15900,16000,16100,16200,16200,16300,16300,16400,16500,16500,16600,16700,16700,16700,16800
"199","06/15/2021","Maneuver","26AR",61400,67200,71200,75400,79200,82500,86500,90100,93400,96400,99400,101900,103800,106300,108000,109800,111900,113600,115000,116300,117500,118400,119400,120300,121300,122300,122900,123600,124300,124900,125500
"200","06/16/2021","Nine Months","Annie DiRusso",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,5100,5200,5300,5400,5400,5500,5600,5600,5700,5700,5800,5800,5900,6000,6000,6100,6200,6300
"201","06/24/2021","Can I Get a Thumb","Beta",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"202","06/24/2021","Butterflies","Fase Yoda",-1,-1,5000,6000,6000,8000,8000,10300,11300,12200,13100,13800,14400,15100,15200,16500,18100,17800,18000,18400,18600,18600,18700,18800,18900,19000,19200,19400,19400,19500,19600
"203","07/06/2021","My Potna Dem","$ilkMoney",41400,62200,84800,101700,107400,117600,130200,143200,143200,159600,166800,166800,178700,190100,195300,207100,215200,223700,227100,-1,239800,-1,-1,-1,270900,273800,277000,277500,280000,283100,284700
"204","07/07/2021","Sorry Bout That","YEAT",6200,7000,7500,8400,8900,9200,9800,11100,12000,12800,13500,14100,14600,15400,15900,16600,17100,17400,-1,18400,-1,-1,-1,20100,20300,20700,21100,22100,21900,22400,22900
"205","10/22/2021","Still Onto You","917 Rackz",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"206","11/11/2021","NFAMOUS","Jshinning",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"207","12/02/2021","#SideN!ggaAnthem","VegasMadeChri$!",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"208","01/05/2022","304","Airitout JuJu",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"209","01/05/2022","Dumb Crasy","So Supa",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"210","01/07/2022","Stripper Anthem","ZahSosaa",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"211","01/20/2022","Pimpin’","Caine$tiff",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"212","01/25/2022","Scammer","Almighty Bigs",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA
"213","01/26/2022","Hours Make Ours","Emmitt Dupree",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA
"215","02/13/2022","Rocking A Cardigan in Atlanta","Lil Shordie Scott",-1,-1,-1,-1,-1,-1,-1,-1,-1,14200,19500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
